Composite.Element.REF	TCGA-OR-A5J2-01	TCGA-PA-A5YG-01	TCGA-OR-A5JV-01	TCGA-OR-A5JT-01	TCGA-OR-A5JR-01	TCGA-OR-A5JP-01	TCGA-OR-A5J6-01	TCGA-OR-A5J8-01	TCGA-OR-A5J3-01	TCGA-OR-A5J9-01	TCGA-OR-A5J7-01	TCGA-OR-A5K1-01	TCGA-OR-A5JY-01	TCGA-OR-A5JS-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K3-01	TCGA-OR-A5JA-01	TCGA-OR-A5K0-01	TCGA-OR-A5K5-01	TCGA-OR-A5K4-01	TCGA-OR-A5JW-01	TCGA-OR-A5KU-01	TCGA-OR-A5KO-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OR-A5LG-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LK-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LD-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5KZ-01	TCGA-OR-A5KY-01	TCGA-OR-A5KX-01	TCGA-OR-A5KW-01	TCGA-OR-A5LH-01	TCGA-PK-A5H8-01	TCGA-PK-A5HA-01	TCGA-OU-A5PI-01	TCGA-OR-A5JZ-01	TCGA-PK-A5H9-01
YWHAE|14-3-3_epsilon	-0.494327297	-0.535367073	-0.109010177	-0.412523064	-0.288187385	-0.503944371	-0.570671967	-0.8083312	-0.647222048	-0.409303033	-0.552173332	-0.439991364	-0.391527159	-0.41074304	-0.480259577	-0.561624089	-0.426446315	-0.656371289	-0.693893703	-0.745681946	-0.082286971	-0.683432934	-0.619983602	-0.671144872	-0.466863824	-0.561607578	-0.607627543	-0.36294226	-0.38698366	-0.454030942	-0.599519099	-0.652605823	-0.503616174	-0.852380531	-0.320465315	-0.578733208	-0.584409602	-0.758116754	-0.418263938	-0.313069663	-0.526591549	-0.419618916	-0.61287048	-0.198785805	-0.455395045
EIF4EBP1|4E-BP1	0.59233888	0.182801066	0.417658616	0.258615346	-0.112085347	0.172736993	0.282779258	0.081888137	0.300417212	0.071821141	-0.009662639	-0.369789242	0.210003613	0.459789087	0.041936424	-0.098393675	0.060727922	0.124796551	-0.365732338	0.330526388	0.279475327	-0.512234576	0.548476897	0.575145599	-0.001157586	-0.089752901	-0.001146244	-0.144694397	-0.066023117	0.181489281	-0.174722893	0.656965749	-0.253804743	-0.267143837	-0.026697992	1.255777633	0.073920852	0.035158332	0.247521961	-0.23804827	0.240699781	0.426289037	0.051416411	-0.084359666	-0.027677082
EIF4EBP1|4E-BP1_pS65	0.104604052	-0.105769447	0.024749542	0.005973751	0.019447153	0.123773543	-0.047305448	0.047853255	0.313227765	0.48658938	0.059433452	0.081145333	-0.023782767	0.15688067	0.246137029	0.315662887	0.244973993	0.144674172	0.213824658	0.283514703	0.370980582	0.068145692	0.177393928	0.214820518	0.055024795	0.153788932	0.112242303	-0.077001385	0.172960398	-0.147194991	-0.086818852	0.02742092	0.430993817	-0.119547525	0.1193839	0.163097217	0.169298292	0.48389972	0.119774194	-0.203249151	-0.029752488	0.178224825	0.047469453	-0.148410351	-0.043082127
EIF4EBP1|4E-BP1_pT37T46	-0.134915168	-0.040087037	-0.720551976	0.56304244	-0.002670804	0.207684914	-0.191695701	0.914020472	1.298187016	0.550556777	0.244076539	0.754182744	-0.311126964	0.51507529	0.512654486	0.472537182	-0.564405625	0.82262491	0.43768207	0.678753701	-0.47511342	0.415035399	1.661186152	1.314531275	-0.727829636	0.416982623	0.356474438	0.196169165	-0.587748442	-0.064731416	0.26465852	0.26159355	0.465769259	0.196522092	-0.155190357	-0.007344431	0.379447781	0.065565247	0.529407974	-0.222073494	0.003595632	0.439179164	0.375776389	0.18449865	0.601880744
TP53BP1|53BP1	1.891360558	1.033166828	1.664732735	1.462891176	2.230052498	1.6837086	1.223746856	1.836024901	1.845983014	2.703559168	1.287132526	2.215399445	1.845193808	2.383904031	2.345141866	2.124439164	1.722349931	2.842365155	2.320236208	1.635448083	2.094156909	1.848230757	0.719623226	2.05625803	1.664244744	1.418284772	1.961117584	2.404343273	2.612565354	1.564586064	1.689507728	2.197799509	1.743747763	2.384024361	2.825142401	2.843353877	1.635770263	2.169829586	2.970868209	1.722565558	2.170854121	1.951862547	1.946565359	1.269172659	1.771649414
ACACA ACACB|ACC_pS79	0.036756331	0.243450221	0.237807134	-0.103568112	0.804793926	0.814217741	0.527807727	0.010368371	0.994738818	0.41520231	1.52246339	1.194992759	0.4555106	0.183602408	1.040450877	0.805049566	0.729624409	1.174561236	0.273211579	1.014790936	0.914019337	1.064772396	-0.012834803	0.801137391	0.215661743	0.705606988	0.620174914	0.919697861	-0.281934072	0.541802743	0.337905667	0.796633178	0.501382279	0.514327504	1.199992741	0.434932619	1.586536279	0.491984002	1.38143984	1.216280161	0.092357912	-0.062244413	0.33380988	0.502883367	0.87825044
ACACA|ACC1	1.7150164	0.945531735	1.62960645	0.783692053	1.864346142	1.988803943	1.397650491	1.366917175	2.329224891	1.631867017	2.895098099	2.220590414	2.192559342	1.554181912	2.155519129	1.80058338	1.982053617	2.324634665	1.483810164	2.344209071	2.492447609	1.633750505	1.266005275	1.865075538	1.938567855	1.902459706	1.74465123	2.052786448	1.269131566	1.551053839	1.419790967	1.99071903	1.864070821	1.999637637	2.390116656	2.985631354	2.770677654	2.005196861	2.627067183	2.217455537	1.374030452	0.962121013	1.697076984	2.245682336	2.079368845
AKT1 AKT2 AKT3|Akt	0.695837975	0.542829008	0.436790989	0.53325417	1.193248768	1.769596582	-0.122870706	0.60314327	2.118960349	1.60875525	0.640943374	1.339811007	0.225608649	1.029900252	1.576867245	1.061884732	0.376562181	0.807157251	2.130957269	0.844338219	1.12770612	1.842821629	0.670740258	1.364322584	1.646646207	1.512095111	1.079888962	0.902160888	0.950777971	0.811763479	0.985026549	0.901375562	1.683679786	1.393692601	0.350519221	0.678199131	1.1723115	1.286320811	1.556286029	1.028981893	0.701675457	0.702523284	1.449055204	1.022779687	1.260919752
AKT1 AKT2 AKT3|Akt_pS473	-0.709113513	-0.42439986	-1.201351595	-0.490974656	0.221960936	0.46951903	-0.493596867	0.126501919	0.738298019	-0.851294966	-0.154533518	1.261323962	-1.080113757	-0.59349396	-0.213878698	-0.371049306	-0.8052715	0.064114139	-0.743935124	1.242888576	-0.761439548	0.016740067	-0.302508328	0.337091883	-1.107441733	0.453844921	0.120277151	0.087590642	-0.579213157	-0.54270133	-0.13502569	-1.059083871	-0.899469646	-0.44230651	-0.83997937	-1.340597043	-0.356848196	-0.85169668	0.229796102	-0.344334478	-0.772110764	-0.823286267	-0.120967372	0.214554994	0.723097662
AKT1 AKT2 AKT3|Akt_pT308	-0.298482393	-0.097101999	-0.525150112	-0.013154821	0.917827099	0.966051997	-0.147385746	0.435571542	1.023700792	-0.335199614	-0.284534968	1.672658856	-0.408245265	0.333708978	0.089953893	0.448483066	-0.248911181	-0.094437756	-0.057163984	1.350681168	-0.346806345	0.024139997	0.065503772	0.514654488	-0.615844035	0.567891513	0.568838008	0.469464071	-0.205408145	-0.403283	0.48091097	-0.763903851	-0.363195066	0.163215886	-0.510198053	-0.650676347	-0.122987757	-0.215418491	-0.013767085	-0.3261652	-0.055725143	-0.077950696	0.274179264	0.443693343	0.942236003
