Composite.Element.REF	TCGA-OR-A5J2-01	TCGA-PA-A5YG-01	TCGA-OR-A5JV-01	TCGA-OR-A5JT-01	TCGA-OR-A5JR-01	TCGA-OR-A5JP-01	TCGA-OR-A5J6-01	TCGA-OR-A5J8-01	TCGA-OR-A5J3-01	TCGA-OR-A5J9-01	TCGA-OR-A5J7-01	TCGA-OR-A5K1-01	TCGA-OR-A5JY-01	TCGA-OR-A5JS-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K3-01	TCGA-OR-A5JA-01	TCGA-OR-A5K0-01	TCGA-OR-A5K5-01	TCGA-OR-A5K4-01	TCGA-OR-A5JW-01	TCGA-OR-A5KU-01	TCGA-OR-A5KO-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OR-A5LG-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LK-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LD-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5KZ-01	TCGA-OR-A5KY-01	TCGA-OR-A5KX-01	TCGA-OR-A5KW-01	TCGA-OR-A5LH-01	TCGA-PK-A5H8-01	TCGA-PK-A5HA-01	TCGA-OU-A5PI-01	TCGA-OR-A5JZ-01	TCGA-PK-A5H9-01
YWHAE|14-3-3_epsilon	0.0789	-0.1705	2.4209	0.5761	1.3318	0.0205	-0.3851	-1.8296	-0.8504	0.5957	-0.2727	0.4092	0.7037	0.5869	0.1644	-0.3301	0.4915	-0.906	-1.1341	-1.4488	2.5833	-1.0705	-0.6848	-0.9958	0.2458	-0.33	-0.6097	0.8775	0.7314	0.3238	-0.5605	-0.8831	0.0225	-2.0974	1.1357	-0.4341	-0.4686	-1.5244	0.5412	1.1806	-0.1172	0.533	-0.6416	1.8752	0.3155
EIF4EBP1|4E-BP1	1.5034	0.2049	0.9495	0.4453	-0.7301	0.173	0.5219	-0.1151	0.5778	-0.147	-0.4053	-1.5471	0.2911	1.0831	-0.2417	-0.6867	-0.1822	0.021	-1.5343	0.6733	0.5114	-1.9988	1.3643	1.4488	-0.3784	-0.6593	-0.3783	-0.8335	-0.584	0.2007	-0.9287	1.7083	-1.1794	-1.2217	-0.4593	3.6068	-0.1403	-0.2632	0.4101	-1.1294	0.3885	0.9769	-0.2117	-0.6422	-0.4624
EIF4EBP1|4E-BP1_pS65	-0.0271	-1.3214	-0.5184	-0.6339	-0.551	0.0908	-0.9617	-0.3763	1.2564	2.323	-0.305	-0.1714	-0.817	0.2945	0.8437	1.2714	0.8365	0.2194	0.6449	1.0736	1.6118	-0.2514	0.4207	0.651	-0.3321	0.2755	0.0199	-1.1444	0.3934	-1.5763	-1.2048	-0.502	1.981	-1.4062	0.0638	0.3328	0.3709	2.3065	0.0662	-1.9212	-0.8537	0.4258	-0.3786	-1.5838	-0.9357
EIF4EBP1|4E-BP1_pT37T46	-0.7907	-0.6029	-1.9507	0.5917	-0.5288	-0.1122	-0.9032	1.2868	2.0477	0.567	-0.0401	0.9703	-1.1397	0.4967	0.4919	0.4124	-1.6414	1.1058	0.3434	0.8209	-1.4645	0.2985	2.7667	2.0801	-1.9651	0.3024	0.1825	-0.135	-1.6876	-0.6517	0.0007	-0.0054	0.399	-0.1343	-0.8309	-0.538	0.2281	-0.3936	0.5251	-0.9633	-0.5164	0.3464	0.2208	-0.1581	0.6686
TP53BP1|53BP1	-0.1278	-1.8768	-0.5897	-1.001	0.5625	-0.551	-1.4884	-0.2406	-0.2203	1.5275	-1.3592	0.5326	-0.2219	0.876	0.797	0.3472	-0.4722	1.8104	0.7463	-0.6494	0.2855	-0.2157	-2.5158	0.2083	-0.5907	-1.0919	0.0144	0.9177	1.342	-0.7938	-0.5392	0.4967	-0.4286	0.8763	1.7753	1.8124	-0.6487	0.4397	2.0723	-0.4718	0.4418	-0.0045	-0.0153	-1.3958	-0.3718
ACACA ACACB|ACC_pS79	-1.3089	-0.8481	-0.8606	-1.6218	0.4036	0.4246	-0.214	-1.3678	0.8271	-0.4651	2.0038	1.2736	-0.3752	-0.9815	0.9291	0.4042	0.236	1.2281	-0.7817	0.8718	0.6471	0.9833	-1.4195	0.3954	-0.91	0.1824	-0.0081	0.6598	-2.0195	-0.1828	-0.6374	0.3854	-0.2729	-0.2441	1.2848	-0.4211	2.1467	-0.2939	1.6894	1.3211	-1.1849	-1.5297	-0.6466	-0.2696	0.5674
ACACA|ACC1	-0.3527	-1.9233	-0.527	-2.2536	-0.0478	0.2062	-1.0005	-1.0632	0.901	-0.5224	2.0561	0.6793	0.6221	-0.6809	0.5465	-0.178	0.1924	0.8917	-0.8246	0.9316	1.2342	-0.5185	-1.2692	-0.0464	0.1036	0.0299	-0.2922	0.3368	-1.2628	-0.6873	-0.9553	0.2101	-0.0484	0.2283	1.0253	2.2409	1.8021	0.2397	1.509	0.6729	-1.0487	-1.8894	-0.3893	0.7305	0.391
AKT1 AKT2 AKT3|Akt	-0.7271	-1.0364	-1.2508	-1.0558	0.2786	1.4438	-2.3823	-0.9145	2.1502	1.1186	-0.8381	0.5749	-1.6778	-0.0517	1.0542	0.013	-1.3726	-0.502	2.1744	-0.4268	0.1461	1.5919	-0.7778	0.6244	1.1952	0.9232	0.0494	-0.3099	-0.2117	-0.4927	-0.1424	-0.3115	1.2701	0.6838	-1.4252	-0.7627	0.2362	0.4667	1.0126	-0.0535	-0.7153	-0.7136	0.7958	-0.0661	0.4154
AKT1 AKT2 AKT3|Akt_pS473	-0.6836	-0.2179	-1.4888	-0.3268	0.8395	1.2444	-0.3311	0.6833	1.6841	-0.9162	0.2236	2.5397	-1.2905	-0.4945	0.1265	-0.1306	-0.8409	0.5812	-0.7406	2.5095	-0.7692	0.5037	-0.0185	1.0278	-1.3352	1.2188	0.6731	0.6196	-0.4711	-0.4114	0.2555	-1.2561	-0.995	-0.2472	-0.8977	-1.7166	-0.1074	-0.9169	0.8523	-0.0869	-0.7867	-0.8704	0.2785	0.8273	1.6592
AKT1 AKT2 AKT3|Akt_pT308	-0.7399	-0.3675	-1.1591	-0.2122	1.5095	1.5987	-0.4605	0.6176	1.7053	-0.8078	-0.7141	2.9055	-0.9429	0.4293	-0.0215	0.6415	-0.6483	-0.3626	-0.2936	2.3101	-0.8293	-0.1433	-0.0668	0.7639	-1.3269	0.8624	0.8641	0.6803	-0.5678	-0.9337	0.7015	-1.6007	-0.8596	0.1139	-1.1315	-1.3913	-0.4154	-0.5863	-0.2134	-0.7911	-0.291	-0.3321	0.3192	0.6327	1.5547
PRKAA1|AMPK_alpha	-1.2212	-2.4698	-0.2892	-0.7534	0.1294	0.6317	-2.2898	-0.5977	0.4664	1.805	-1.0377	0.8056	1.3511	-0.457	0.3467	0.2157	0.7514	-0.1662	-0.1146	-0.0415	1.46	1.69	-1.3314	-0.4606	-0.8884	1.1005	0.4	0.1505	-0.2128	0.0434	-1.0184	0.5428	0.6883	-0.9151	0.9659	-0.5239	-0.1149	-1.4931	0.8718	0.0526	0.1951	-0.3099	-0.9596	0.7557	2.2465
PRKAA1|AMPK_pT172	0.0962	-0.7498	0.3803	-0.155	-0.3048	0.8615	-0.5417	-0.7485	-0.7475	1.3542	-0.1085	0.4433	-0.2974	-3.1105	0.9057	0.1564	0.1721	-0.0286	0.7574	0.2937	-3.606	1.235	-0.3346	0.6614	0.0087	0.5693	-0.2185	0.2971	-0.508	0.4918	-0.1589	1.0039	-2.5656	0.9379	0.8693	-0.6094	-0.0455	0.1361	0.96	1.0816	-0.2006	0.4225	0.3872	-0.1545	0.7116
AR|AR	0.013	-0.2305	-0.5722	1.093	1.8178	-0.9332	-1.3301	0.5665	1.672	0.0472	-0.8834	-0.0568	-1.0258	0.168	-0.4692	0.6585	-0.4781	-0.6921	-0.6117	-0.5713	1.4182	-0.1276	-0.0788	2.1118	-0.2993	3.3918	-0.9471	-0.3989	-0.6737	0.2602	1.5062	0.0557	0.5021	-1.9966	-0.7546	0.2782	-0.2869	-0.6594	-0.7348	-0.2632	-0.0189	-0.4686	0.514	0.7118	-1.2233
